YEARS_BINNED,TARGET,DAYS_BIRTH,YEARS_BIRTH
"(20.0, 25.0]",0.12303643391726293,8532.795624640185,23.377522259288174
"(25.0, 30.0]",0.11143570080944556,10155.219250197797,27.822518493692595
"(30.0, 35.0]",0.10281440162271806,11854.848377281947,32.47903665008753
"(35.0, 40.0]",0.08941401511617057,13707.908253242513,37.555913022582224
"(40.0, 45.0]",0.07849103994590156,15497.661232671593,42.459345842935875
"(45.0, 50.0]",0.07417105450405578,17323.900441155543,47.462740934672716
"(50.0, 55.0]",0.0669681185965314,19196.494791368554,52.59313641470837
"(55.0, 60.0]",0.05531400966183575,20984.262741545892,57.49113079875587
"(60.0, 65.0]",0.052736934051535886,22780.547459601108,62.41245879342769
"(65.0, 70.0]",0.037270146859187954,24292.614340367763,66.55510778182949
